asset,strategy,entry_cost,max_profit,move_pct,days,exit_rule,exit_value,final_pnl,exit_reason,roi,profitable
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-15,3,take_profit_pct,30.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-15,3,take_profit_pct,60.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-15,3,take_profit_dollars,100.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-15,3,hold_to_expiry,,-49.29999999999998,expiry,-100.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-15,7,take_profit_pct,30.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-15,7,take_profit_pct,60.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-15,7,take_profit_dollars,100.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-15,7,hold_to_expiry,,-49.29999999999998,expiry,-100.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-15,14,take_profit_pct,30.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-15,14,take_profit_pct,60.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-15,14,take_profit_dollars,100.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-15,14,hold_to_expiry,,-49.29999999999998,expiry,-100.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-15,21,take_profit_pct,30.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-15,21,take_profit_pct,60.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-15,21,take_profit_dollars,100.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-15,21,hold_to_expiry,,-49.29999999999998,expiry,-100.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-10,3,take_profit_pct,30.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-10,3,take_profit_pct,60.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-10,3,take_profit_dollars,100.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-10,3,hold_to_expiry,,-49.29999999999998,expiry,-100.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-10,7,take_profit_pct,30.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-10,7,take_profit_pct,60.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-10,7,take_profit_dollars,100.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-10,7,hold_to_expiry,,-49.29999999999998,expiry,-100.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-10,14,take_profit_pct,30.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-10,14,take_profit_pct,60.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-10,14,take_profit_dollars,100.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-10,14,hold_to_expiry,,-49.29999999999998,expiry,-100.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-10,21,take_profit_pct,30.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-10,21,take_profit_pct,60.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-10,21,take_profit_dollars,100.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-10,21,hold_to_expiry,,-49.29999999999998,expiry,-100.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-6,3,take_profit_pct,30.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-6,3,take_profit_pct,60.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-6,3,take_profit_dollars,100.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-6,3,hold_to_expiry,,-49.29999999999998,expiry,-100.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-6,7,take_profit_pct,30.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-6,7,take_profit_pct,60.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-6,7,take_profit_dollars,100.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-6,7,hold_to_expiry,,-49.29999999999998,expiry,-100.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-6,14,take_profit_pct,30.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-6,14,take_profit_pct,60.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-6,14,take_profit_dollars,100.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-6,14,hold_to_expiry,,-49.29999999999998,expiry,-100.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-6,21,take_profit_pct,30.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-6,21,take_profit_pct,60.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-6,21,take_profit_dollars,100.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-6,21,hold_to_expiry,,-49.29999999999998,expiry,-100.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-3,3,take_profit_pct,30.0,-44.36999999999998,hold,-90.0,False
ETH,Bull Call Spread,49.29999999999998,50.70000000000002,-3,3,take_profit_pct,60.0,-44.36999999999998,hold,-90.0,False
