strategy,dte,price_move,new_price,base_pnl,leveraged_pnl,max_profit,max_loss,long_strike,short_strike
Bull Call Spread,60,-25,52500.0,-4200.0,-50400.0,117600.0,50400.0,66500,80500
Bull Call Spread,60,-20,56000.0,-4200.0,-50400.0,117600.0,50400.0,66500,80500
Bull Call Spread,60,-15,59500.0,-4200.0,-50400.0,117600.0,50400.0,66500,80500
Bull Call Spread,60,-10,63000.0,-4200.0,-50400.0,117600.0,50400.0,66500,80500
Bull Call Spread,60,-5,66500.0,-4200.0,-50400.0,117600.0,50400.0,66500,80500
Bull Call Spread,60,0,70000.0,-700.0,-8400.0,117600.0,50400.0,66500,80500
Bull Call Spread,60,5,73500.0,2800.0,33600.0,117600.0,50400.0,66500,80500
Bull Call Spread,60,10,77000.0,6300.0,75600.0,117600.0,50400.0,66500,80500
Bull Call Spread,60,15,80500.0,9800.0,117600.0,117600.0,50400.0,66500,80500
Bull Call Spread,60,20,84000.0,9800.0,117600.0,117600.0,50400.0,66500,80500
Bull Call Spread,60,25,87500.0,9800.0,117600.0,117600.0,50400.0,66500,80500
Bull Call Spread,45,-25,52500.0,-4200.0,-50400.0,117600.0,50400.0,66500,80500
Bull Call Spread,45,-20,56000.0,-4200.0,-50400.0,117600.0,50400.0,66500,80500
Bull Call Spread,45,-15,59500.0,-4200.0,-50400.0,117600.0,50400.0,66500,80500
Bull Call Spread,45,-10,63000.0,-4200.0,-50400.0,117600.0,50400.0,66500,80500
Bull Call Spread,45,-5,66500.0,-4200.0,-50400.0,117600.0,50400.0,66500,80500
Bull Call Spread,45,0,70000.0,-700.0,-8400.0,117600.0,50400.0,66500,80500
Bull Call Spread,45,5,73500.0,2800.0,33600.0,117600.0,50400.0,66500,80500
Bull Call Spread,45,10,77000.0,6300.0,75600.0,117600.0,50400.0,66500,80500
Bull Call Spread,45,15,80500.0,9800.0,117600.0,117600.0,50400.0,66500,80500
Bull Call Spread,45,20,84000.0,9800.0,117600.0,117600.0,50400.0,66500,80500
Bull Call Spread,45,25,87500.0,9800.0,117600.0,117600.0,50400.0,66500,80500
Bull Call Spread,30,-25,52500.0,-2100.0,-25200.0,58800.0,25200.0,68600,75600
Bull Call Spread,30,-20,56000.0,-2100.0,-25200.0,58800.0,25200.0,68600,75600
Bull Call Spread,30,-15,59500.0,-2100.0,-25200.0,58800.0,25200.0,68600,75600
Bull Call Spread,30,-10,63000.0,-2100.0,-25200.0,58800.0,25200.0,68600,75600
Bull Call Spread,30,-5,66500.0,-2100.0,-25200.0,58800.0,25200.0,68600,75600
Bull Call Spread,30,0,70000.0,-700.0,-8400.0,58800.0,25200.0,68600,75600
Bull Call Spread,30,5,73500.0,2800.0,33600.0,58800.0,25200.0,68600,75600
Bull Call Spread,30,10,77000.0,4900.0,58800.0,58800.0,25200.0,68600,75600
Bull Call Spread,30,15,80500.0,4900.0,58800.0,58800.0,25200.0,68600,75600
Bull Call Spread,30,20,84000.0,4900.0,58800.0,58800.0,25200.0,68600,75600
Bull Call Spread,30,25,87500.0,4900.0,58800.0,58800.0,25200.0,68600,75600
Bull Call Spread,21,-25,52500.0,-2100.0,-25200.0,58800.0,25200.0,68600,75600
Bull Call Spread,21,-20,56000.0,-2100.0,-25200.0,58800.0,25200.0,68600,75600
Bull Call Spread,21,-15,59500.0,-2100.0,-25200.0,58800.0,25200.0,68600,75600
Bull Call Spread,21,-10,63000.0,-2100.0,-25200.0,58800.0,25200.0,68600,75600
Bull Call Spread,21,-5,66500.0,-2100.0,-25200.0,58800.0,25200.0,68600,75600
Bull Call Spread,21,0,70000.0,-700.0,-8400.0,58800.0,25200.0,68600,75600
Bull Call Spread,21,5,73500.0,2800.0,33600.0,58800.0,25200.0,68600,75600
Bull Call Spread,21,10,77000.0,4900.0,58800.0,58800.0,25200.0,68600,75600
Bull Call Spread,21,15,80500.0,4900.0,58800.0,58800.0,25200.0,68600,75600
Bull Call Spread,21,20,84000.0,4900.0,58800.0,58800.0,25200.0,68600,75600
Bull Call Spread,21,25,87500.0,4900.0,58800.0,58800.0,25200.0,68600,75600
Bear Put Spread,60,-25,52500.0,9800.0,117600.0,117600.0,50400.0,73500,59500
Bear Put Spread,60,-20,56000.0,9800.0,117600.0,117600.0,50400.0,73500,59500
Bear Put Spread,60,-15,59500.0,9800.0,117600.0,117600.0,50400.0,73500,59500
Bear Put Spread,60,-10,63000.0,6300.0,75600.0,117600.0,50400.0,73500,59500
Bear Put Spread,60,-5,66500.0,2800.0,33600.0,117600.0,50400.0,73500,59500
Bear Put Spread,60,0,70000.0,-700.0,-8400.0,117600.0,50400.0,73500,59500
Bear Put Spread,60,5,73500.0,-4200.0,-50400.0,117600.0,50400.0,73500,59500
Bear Put Spread,60,10,77000.0,-4200.0,-50400.0,117600.0,50400.0,73500,59500
Bear Put Spread,60,15,80500.0,-4200.0,-50400.0,117600.0,50400.0,73500,59500
Bear Put Spread,60,20,84000.0,-4200.0,-50400.0,117600.0,50400.0,73500,59500
Bear Put Spread,60,25,87500.0,-4200.0,-50400.0,117600.0,50400.0,73500,59500
