symbol,underlying_price,mark_price,open_interest,volume_24h,delta,gamma,vega,theta,iv,timestamp
BTC-26DEC25-50000-C,112727.88,62781.3250432,0.03,0.0,0.99580473,3.4e-07,5.79195722,-3.63613358,0.7916,2025-10-24 10:04:01.564385
BTC-26DEC25-170000-P,112727.88,57517.70278028,0.01,0.0,-0.97063992,2.88e-06,31.31089463,-12.31609331,0.496,2025-10-24 10:04:01.893070
BTC-26DEC25-180000-C,112727.88,151.54112295,0.79,0.0,0.01854213,1.89e-06,21.26965707,-8.66821983,0.5139,2025-10-24 10:04:02.225179
BTC-26DEC25-140000-C,112727.82,1381.59054069,2.07,0.0,0.1405295,1.07e-05,104.53990098,-36.93234905,0.4455,2025-10-24 10:04:02.553393
BTC-26DEC25-70000-C,112727.82,43030.49069324,0.0,0.0,0.97509437,1.99e-06,27.2935238,-13.55194643,0.6261,2025-10-24 10:04:02.884966
BTC-26DEC25-130000-C,112727.82,2674.3992467,8.22,0.0,0.24239129,1.535e-05,146.42408461,-50.49464382,0.4348,2025-10-24 10:04:03.218030
BTC-26DEC25-120000-C,112727.84,5197.52042265,0.77,0.0,0.39829994,1.904e-05,180.78932624,-62.04543357,0.4327,2025-10-24 10:04:03.557694
BTC-26DEC25-170000-C,112727.84,245.58177817,2.35,0.0,0.02935998,2.88e-06,31.31078964,-12.31606016,0.496,2025-10-24 10:04:03.886695
BTC-26DEC25-200000-C,112727.85,64.65303005,1.3,0.0,0.00812637,8.7e-07,10.41126234,-4.52609113,0.5481,2025-10-24 10:04:04.268201
BTC-26DEC25-80000-C,112727.85,33423.86752389,0.01,0.0,0.94347808,4.32e-06,53.24894183,-23.74475781,0.5623,2025-10-24 10:04:04.604640
BTC-26DEC25-300000-P,112727.79,187275.78379485,0.0,0.0,-0.99954297,6e-08,0.76608758,-0.41394719,0.6813,2025-10-24 10:04:05.237394
BTC-26DEC25-90000-P,112727.79,1568.34326436,13.51,0.01,-0.12120707,8.44e-06,94.37717596,-38.15159137,0.5097,2025-10-24 10:04:05.565910
BTC-26DEC25-300000-C,112727.79,3.57379485,2.18,0.0,0.00045704,6e-08,0.76608758,-0.41394719,0.6813,2025-10-24 10:04:05.892457
BTC-26DEC25-250000-P,112727.79,137284.5328655,0.0,0.0,-0.99842109,1.8e-07,2.3954487,-1.18181652,0.6221,2025-10-24 10:04:06.227398
BTC-26DEC25-100000-C,112727.85,16133.32552365,0.65,0.0,0.76166131,1.409e-05,145.08534037,-54.02064019,0.4695,2025-10-24 10:04:06.580902
BTC-26DEC25-70000-P,112727.85,302.66952716,0.04,0.0,-0.02490555,1.99e-06,27.29344394,-13.55191838,0.6261,2025-10-24 10:04:06.908632
BTC-26DEC25-60000-P,112727.85,129.10488523,4.29,0.0,-0.01048391,8.5e-07,13.0112835,-7.24085594,0.7017,2025-10-24 10:04:07.237625
BTC-26DEC25-250000-C,112727.81,12.3228495,3.26,0.0,0.00157892,1.8e-07,2.39544629,-1.18181561,0.6221,2025-10-24 10:04:07.578266
BTC-26DEC25-350000-C,112727.81,1.33278331,7.35,0.0,0.0001693,2e-08,0.30381041,-0.17586316,0.7299,2025-10-24 10:04:07.908414
BTC-26DEC25-180000-P,112727.81,67423.72976417,0.0,0.0,-0.98145801,1.89e-06,21.26949752,-8.66816864,0.5139,2025-10-24 10:04:08.241649
BTC-26DEC25-100000-P,112727.79,3405.48710398,2.06,0.02,-0.23833948,1.409e-05,145.08549691,-54.02070666,0.4695,2025-10-24 10:04:08.872198
BTC-26DEC25-200000-P,112727.79,87336.86256639,0.0,0.0,-0.99187369,8.7e-07,10.41119727,-4.52606802,0.5481,2025-10-24 10:04:09.225543
BTC-26DEC25-350000-P,112727.76,237273.57277616,0.0,0.0,-0.99983071,2e-08,0.30380888,-0.17586239,0.7299,2025-10-24 10:04:09.558952
BTC-26DEC25-80000-P,112727.76,696.01981205,2.51,0.0,-0.05652217,4.32e-06,53.24905664,-23.7448195,0.5623,2025-10-24 10:04:09.893353
BTC-26DEC25-110000-P,112727.79,6884.7099158,4.39,0.0,-0.41096614,1.873e-05,182.22145868,-64.09767731,0.4435,2025-10-24 10:04:10.259853
BTC-26DEC25-150000-P,112727.79,38012.43692602,0.0,0.0,-0.91871056,6.98e-06,70.49289332,-25.75610974,0.4607,2025-10-24 10:04:10.603337
BTC-26DEC25-150000-C,112727.79,740.22692602,4.67,0.0,0.08128945,6.98e-06,70.49289332,-25.75610974,0.4607,2025-10-24 10:04:10.968986
BTC-26DEC25-110000-C,112727.82,9612.51703116,1.8,0.0,0.58903443,1.873e-05,182.22143112,-64.09768086,0.4435,2025-10-24 10:04:11.305115
BTC-26DEC25-130000-P,112727.82,19946.57368254,3.5,0.0,-0.75760896,1.535e-05,146.42388501,-50.49465601,0.4348,2025-10-24 10:04:11.633252
BTC-26DEC25-50000-P,112727.82,53.44474667,2.46,0.0,-0.00419526,3.4e-07,5.7919314,-3.63612304,0.7916,2025-10-24 10:04:11.962729
BTC-26DEC25-120000-P,112727.87,12469.65502491,5.98,0.0,-0.60169966,1.904e-05,180.7892748,-62.04551143,0.4327,2025-10-24 10:04:12.597416
BTC-26DEC25-60000-C,112727.87,52856.97422251,0.01,0.0,0.98951614,8.5e-07,13.0112303,-7.24083471,0.7017,2025-10-24 10:04:12.924458
BTC-26DEC25-90000-C,112727.84,24296.17459495,0.12,0.0,0.87879347,8.44e-06,94.3768602,-38.15152708,0.5097,2025-10-24 10:04:13.259274
BTC-26DEC25-140000-P,112727.84,28653.74777466,0.0,0.0,-0.85947063,1.07e-05,104.53975151,-36.93236389,0.4455,2025-10-24 10:04:13.613507
BTC-31OCT25-98000-P-USDT,111646.92,164.55890205,123.12,13.81,-0.04447492,1.072e-05,14.55763075,-58.42433237,0.565,2025-10-24 10:04:13.950957
BTC-31OCT25-95000-C-USDT,111647.4,16739.83771004,0.13,0.0,0.97470278,6.27e-06,9.15160918,-39.51873216,0.6079,2025-10-24 10:04:14.283752
BTC-31OCT25-110000-C-USDT,111647.4,3513.59656403,52.16,12.88,0.61083846,5.823e-05,59.44994467,-179.38265761,0.4248,2025-10-24 10:04:14.614699
BTC-31OCT25-112000-C-USDT,111647.4,2379.35652869,42.79,15.5,0.48942393,6.244e-05,61.83105512,-180.94261986,0.412,2025-10-24 10:04:14.942389
BTC-31OCT25-114000-P-USDT,111647.41,3875.30064461,50.73,0.03,-0.63432795,6e-05,58.31251297,-167.47359763,0.4044,2025-10-24 10:04:15.277767
BTC-31OCT25-138000-P-USDT,111647.41,26358.71027568,2.67,0.0,-0.99747818,9.4e-07,1.2127544,-4.62642435,0.5371,2025-10-24 10:04:15.612927
BTC-31OCT25-85000-C-USDT,111647.47,26663.43291201,24.14,0.02,0.99578344,1.06e-06,1.9255355,-10.4052166,0.7608,2025-10-24 10:04:16.601049
BTC-31OCT25-100000-P-USDT,111647.47,243.71461153,104.7,14.59,-0.06505449,1.523e-05,19.67117403,-75.09366309,0.5374,2025-10-24 10:04:16.931801
BTC-31OCT25-140000-C-USDT,111647.45,4.34095118,59.57,0.0,0.00178909,6.7e-07,0.88831749,-3.48404643,0.5522,2025-10-24 10:04:17.263780
BTC-31OCT25-142000-P-USDT,111647.45,30355.6763182,2.0,0.0,-0.99871301,4.9e-07,0.65779034,-2.64968785,0.5671,2025-10-24 10:04:17.591827
BTC-31OCT25-95000-P-USDT,111647.45,92.90788808,40.01,10.2,-0.02529462,6.27e-06,9.15083215,-39.51602129,0.608,2025-10-24 10:04:17.924584
BTC-31OCT25-92000-C-USDT,111647.41,19701.02784137,1.86,0.0,0.98544684,3.65e-06,5.72074245,-26.50862075,0.6524,2025-10-24 10:04:18.256177
BTC-31OCT25-146000-P-USDT,111647.41,34354.27979429,0.01,0.0,-0.99930809,2.6e-07,0.37200349,-1.57586246,0.5964,2025-10-24 10:04:18.583982
BTC-31OCT25-88000-C-USDT,111647.41,23673.92118802,12.56,0.0,0.99289217,1.79e-06,3.0623222,-15.52063845,0.7135,2025-10-24 10:04:18.917495
BTC-31OCT25-111000-P-USDT,111647.41,2254.91355796,17.71,10.35,-0.44846375,6.133e-05,61.33577336,-181.28054347,0.4161,2025-10-24 10:04:19.248093
BTC-31OCT25-142000-C-USDT,111647.38,3.12621457,48.74,0.28,0.00128695,4.9e-07,0.65777083,-2.64962137,0.5671,2025-10-24 10:04:19.590127
BTC-31OCT25-152000-C-USDT,111647.38,0.73346744,14.82,0.0,0.00029657,1.1e-07,0.16966131,-0.7696687,0.6387,2025-10-24 10:04:20.217837
BTC-31OCT25-108000-P-USDT,111647.34,1249.09202118,84.4,6.52,-0.28370755,4.944e-05,52.52232762,-164.89502963,0.442,2025-10-24 10:04:20.548322
BTC-31OCT25-119000-C-USDT,111647.34,424.73338565,49.97,11.95,0.13606213,3.454e-05,33.84353445,-98.01723577,0.4078,2025-10-24 10:04:20.885740
BTC-31OCT25-160000-P-USDT,111647.34,48352.93521884,0.02,0.0,-0.99989101,4e-08,0.06654168,-0.32703234,0.6919,2025-10-24 10:04:21.241634
BTC-31OCT25-121000-P-USDT,111647.26,9603.32272928,27.9,0.2,-0.91357939,2.442e-05,24.42695218,-72.2120431,0.4162,2025-10-24 10:04:21.589964
BTC-31OCT25-112000-P-USDT,111647.26,2732.00998762,30.47,12.4,-0.51058506,6.244e-05,61.83058482,-180.94308742,0.412,2025-10-24 10:04:21.961714
BTC-31OCT25-134000-P-USDT,111647.2,22365.54384517,2.4,0.0,-0.99475842,1.92e-06,2.33802147,-8.41213505,0.5065,2025-10-24 10:04:22.300644
BTC-31OCT25-144000-C-USDT,111647.2,2.28332779,14.68,0.0,0.00093786,3.6e-07,0.49217055,-2.03411224,0.5819,2025-10-24 10:04:22.633434
BTC-31OCT25-158000-C-USDT,111647.2,0.34731843,7.59,0.0,0.0001383,5e-08,0.0831934,-0.40120213,0.6789,2025-10-24 10:04:22.966304
BTC-31OCT25-123000-P-USDT,111647.15,11502.36100704,30.75,0.0,-0.94550923,1.668e-05,17.12064076,-51.9542562,0.4272,2025-10-24 10:04:23.297751
BTC-31OCT25-80000-P-USDT,111647.15,7.0834808,55.11,18.33,-0.00181368,4.5e-07,0.89940476,-5.38010645,0.8421,2025-10-24 10:04:23.927202
BTC-31OCT25-156000-P-USDT,111649.2,44353.2917727,0.36,0.0,-0.99982317,7e-08,0.10472551,-0.49522446,0.6657,2025-10-24 10:04:24.266634
