symbol,underlying_price,mark_price,open_interest,volume_24h,delta,gamma,vega,theta,iv,timestamp
ETH-26DEC25-500-P,3996.45,0.14987833,11.7,9.1,-0.00019795,2.9e-07,0.01245573,-0.01538268,1.5546,2025-10-24 12:31:47.834331
ETH-26DEC25-8000-P,3996.45,4015.58055544,0.0,0.0,-0.97336324,4.662e-05,1.02276197,-0.64728592,0.7967,2025-10-24 12:31:48.189706
ETH-26DEC25-5500-C,3996.45,94.92475108,0.0,0.0,0.1721425,0.00021826,4.23320946,-2.36856268,0.7043,2025-10-24 12:31:48.575551
ETH-26DEC25-2800-C,3996.45,1265.78996008,260.0,0.0,0.8996443,0.0001387,2.91996129,-1.77337665,0.7645,2025-10-24 12:31:48.947233
ETH-26DEC25-2700-C,3996.45,1353.58105857,172.2,0.0,0.91567902,0.00011994,2.56684733,-1.58476187,0.7772,2025-10-24 12:31:49.332752
ETH-26DEC25-2300-C,3996.45,1721.81671989,0.0,0.0,0.96052901,6.109e-05,1.41466114,-0.94507847,0.841,2025-10-24 12:31:49.737014
ETH-26DEC25-5700-P,3996.45,1781.49870403,217.7,17.7,-0.85441012,0.00019378,3.79273037,-2.14149829,0.7108,2025-10-24 12:31:50.132594
ETH-26DEC25-1500-C,3996.45,2500.41531191,0.5,0.0,0.99375286,1.028e-05,0.29243702,-0.24012607,1.0336,2025-10-24 12:31:50.490802
ETH-26DEC25-2700-P,3996.45,57.13103917,15.0,0.0,-0.08432097,0.00011994,2.56684673,-1.58476178,0.7772,2025-10-24 12:31:50.843055
ETH-26DEC25-1000-P,3996.45,0.9745742,20.2,0.0,-0.00145571,2.34e-06,0.07879368,-0.07671236,1.2255,2025-10-24 12:31:51.193005
ETH-26DEC25-4200-P,3996.45,568.35102915,40.0,0.0,-0.51403129,0.00035379,6.61636726,-3.56955009,0.6791,2025-10-24 12:31:51.859921
ETH-26DEC25-3200-C,3996.86,938.44394128,160.0,0.0,0.8137731,0.0002238,4.44836683,-2.55023009,0.7217,2025-10-24 12:31:52.211614
ETH-26DEC25-4300-C,3996.86,328.78486902,20.0,0.0,0.45285259,0.00035167,6.57484914,-3.5454033,0.6788,2025-10-24 12:31:52.567145
ETH-26DEC25-5200-C,3996.86,128.07653891,17.2,0.0,0.2210229,0.00025768,4.92726805,-2.71745878,0.6943,2025-10-24 12:31:52.918385
ETH-26DEC25-3000-C,3996.85,1096.82971526,210.5,0.0,0.86136753,0.00017984,3.66944885,-2.15950472,0.7408,2025-10-24 12:31:53.616205
ETH-26DEC25-5500-P,3996.85,1597.91279626,140.0,0.0,-0.82801481,0.00021828,4.23116137,-2.365587,0.7038,2025-10-24 12:31:53.983866
ETH-26DEC25-4800-C,3996.88,194.00343417,23.9,0.0,0.30765557,0.00030969,5.83582736,-3.17180937,0.6842,2025-10-24 12:31:54.343444
ETH-26DEC25-5000-C,3996.88,157.38479159,6.1,0.0,0.26107737,0.00028439,5.39490486,-2.95175023,0.6887,2025-10-24 12:31:54.694792
ETH-26DEC25-4300-P,3996.88,631.9130717,20.1,0.0,-0.54714069,0.00035167,6.57489406,-3.54542269,0.6788,2025-10-24 12:31:55.047952
ETH-26DEC25-2000-P,3996.88,13.15175748,39.0,0.0,-0.02084527,3.352e-05,0.83227736,-0.59612463,0.9016,2025-10-24 12:31:55.398867
ETH-26DEC25-6000-C,3996.88,58.80859163,525.3,0.0,0.11392665,0.00016099,3.20005002,-1.83458272,0.7217,2025-10-24 12:31:56.049211
ETH-26DEC25-16000-C,3996.89,0.32225891,9.2,0.2,0.00079449,1.66e-06,0.04523151,-0.03568123,0.993,2025-10-24 12:31:56.401978
ETH-26DEC25-7200-P,3996.89,3224.5100277,0.1,0.0,-0.95434312,7.533e-05,1.59160889,-0.96994764,0.7671,2025-10-24 12:31:56.756925
ETH-26DEC25-16000-P,3996.89,12003.43225891,0.0,0.0,-0.99920551,1.66e-06,0.04523151,-0.03568123,0.993,2025-10-24 12:31:57.109605
ETH-26DEC25-5100-P,3996.89,1245.02517042,40.0,0.0,-0.7597335,0.0002711,5.1626399,-2.83554627,0.6914,2025-10-24 12:31:57.462523
ETH-26DEC25-5100-C,3996.89,141.91517042,0.0,0.0,0.24026651,0.0002711,5.1626399,-2.83554627,0.6914,2025-10-24 12:31:57.819786
ETH-26DEC25-3800-P,3996.89,350.32466215,22.2,0.0,-0.37458436,0.00033266,6.29124709,-3.43157738,0.6866,2025-10-24 12:31:58.173022
ETH-26DEC25-2300-P,3996.87,25.35278902,0.1,0.0,-0.03944801,6.105e-05,1.41413843,-0.9447526,0.841,2025-10-24 12:31:58.523156
ETH-26DEC25-4800-P,3996.87,997.13067361,60.0,0.0,-0.69234731,0.00030969,5.83578661,-3.17179323,0.6842,2025-10-24 12:31:58.885406
ETH-26DEC25-4000-P,3996.39,451.45191315,80.1,0.0,-0.44483517,0.00034936,6.55775203,-3.55034052,0.6815,2025-10-24 12:31:59.234117
ETH-26DEC25-5200-P,3996.39,1331.60402849,60.0,0.0,-0.77907862,0.00025763,4.92539024,-2.71659795,0.6943,2025-10-24 12:31:59.890754
ETH-26DEC25-6000-P,3996.39,2062.37955114,200.0,0.0,-0.88613114,0.00016094,3.19849993,-1.83382927,0.7217,2025-10-24 12:32:00.270374
ETH-26DEC25-6800-P,3996.37,2832.98224956,0.0,0.0,-0.93893829,9.677e-05,2.00412412,-1.19742286,0.7521,2025-10-24 12:32:00.676201
ETH-26DEC25-12000-C,3996.37,1.38959607,4.6,0.0,0.00333774,6.66e-06,0.16712838,-0.12114758,0.9125,2025-10-24 12:32:01.049037
ETH-26DEC25-1000-C,3996.28,2997.25473655,0.0,0.0,0.99854401,2.34e-06,0.07880475,-0.07672269,1.2255,2025-10-24 12:32:01.407668
ETH-26DEC25-2500-C,3996.28,1534.69992735,40.5,0.0,0.94153111,8.72e-05,1.9370967,-1.24150691,0.8068,2025-10-24 12:32:01.759372
