symbol,underlying_price,mark_price,open_interest,volume_24h,delta,gamma,vega,theta,iv,timestamp
SOL-28NOV25-242-P-USDT,194.41,53.32892672,0.0,0.0,-0.77210071,0.00618391,0.1821042,-0.2102566,0.8104,2025-10-24 08:45:22.770276
SOL-28NOV25-240-P-USDT,194.41,51.57740541,1.0,0.0,-0.76355491,0.00634486,0.18587378,-0.21349466,0.8062,2025-10-24 08:45:23.102621
SOL-28NOV25-224-P-USDT,194.4,38.18940716,265.0,0.0,-0.68034218,0.00764117,0.21546627,-0.23824084,0.7761,2025-10-24 08:45:23.446117
SOL-28NOV25-100-P-USDT,194.4,0.83163078,25.0,0.0,-0.02591115,0.000818,0.0363021,-0.06317235,1.2214,2025-10-24 08:45:23.794609
SOL-28NOV25-140-C-USDT,194.4,57.43733923,3.0,0.0,0.89958062,0.00312942,0.10611159,-0.14108444,0.9332,2025-10-24 08:45:24.123469
SOL-28NOV25-320-P-USDT,194.4,127.21521541,0.0,0.0,-0.93082187,0.00224444,0.08020215,-0.11237823,0.9835,2025-10-24 08:45:24.457621
SOL-28NOV25-244-P-USDT,194.4,55.10449931,0.0,0.0,-0.78028442,0.00602416,0.17834854,-0.20704304,0.8148,2025-10-24 08:45:24.790595
SOL-28NOV25-220-P-USDT,194.4,35.05502843,425.0,0.0,-0.65500807,0.0079394,0.22208761,-0.24360097,0.7699,2025-10-24 08:45:25.134309
SOL-28NOV25-180-P-USDT,194.4,11.55182238,249.0,2.0,-0.32957219,0.00777443,0.21818447,-0.24010278,0.7724,2025-10-24 08:45:25.480465
SOL-28NOV25-340-C-USDT,194.4,1.27245863,659.0,5.0,0.054554,0.00179098,0.06662475,-0.09718525,1.0239,2025-10-24 08:45:25.814274
SOL-28NOV25-320-C-USDT,194.4,1.61521541,109.0,66.0,0.06917813,0.00224444,0.08020212,-0.11237831,0.9835,2025-10-24 08:45:26.492550
SOL-28NOV25-278-C-USDT,194.4,2.94443647,181.0,11.0,0.12390164,0.00380688,0.12332215,-0.15665058,0.8916,2025-10-24 08:45:26.818251
