symbol,underlying_price,mark_price,open_interest,volume_24h,delta,gamma,vega,theta,iv,timestamp
XRP-14NOV25-3-C-USDT,2.43532722,0.05044185,100040.0,100040.0,0.19293212,0.52545647,0.00160515,-0.00337866,0.8897,2025-10-24 07:49:25.533147
XRP-14NOV25-3.2-P-USDT,2.43532722,0.79652794,0.0,0.0,-0.87015595,0.39331776,0.00123859,-0.00268759,0.9171,2025-10-24 07:49:25.860651
XRP-14NOV25-2-C-USDT,2.43578513,0.48446875,0.0,0.0,0.84317584,0.44901987,0.0014074,-0.00303851,0.9125,2025-10-24 07:49:26.209252
XRP-14NOV25-2.3-C-USDT,2.43578513,0.2703175,0.0,0.0,0.64831499,0.73663226,0.00217467,-0.00442205,0.8595,2025-10-24 07:49:26.540875
XRP-14NOV25-3.4-C-USDT,2.43578513,0.02072309,0.0,0.0,0.08841953,0.28890744,0.0009393,-0.00210347,0.9465,2025-10-24 07:49:26.871028
XRP-14NOV25-2-P-USDT,2.43577969,0.04868437,100000.0,100040.0,-0.15682645,0.44902555,0.00140741,-0.00303853,0.9125,2025-10-24 07:49:27.214437
XRP-14NOV25-3.6-P-USDT,2.43577969,1.178081,0.0,0.0,-0.93883762,0.21127675,0.00070873,-0.00163757,0.9766,2025-10-24 07:49:27.545031
XRP-14NOV25-2.8-C-USDT,2.43577969,0.08184119,0.0,0.0,0.28639442,0.66990898,0.00199441,-0.00408983,0.8667,2025-10-24 07:49:27.873463
XRP-14NOV25-2.5-P-USDT,2.43601611,0.23471964,0.0,0.0,-0.50972984,0.80009651,0.0023377,-0.00470373,0.8505,2025-10-24 07:49:28.200778
XRP-14NOV25-3.6-C-USDT,2.43601611,0.01386969,0.0,0.0,0.06119536,0.21136191,0.0007091,-0.0016383,0.9765,2025-10-24 07:49:28.528798
XRP-14NOV25-1.4-C-USDT,2.43601611,1.0405005,0.0,0.0,0.98328266,0.0612164,0.0002436,-0.00066757,1.1583,2025-10-24 07:49:29.161370
XRP-14NOV25-2.5-C-USDT,2.4361476,0.17079638,340.0,340.0,0.49037361,0.80007382,0.00233784,-0.00470393,0.8504,2025-10-24 07:49:29.489277
XRP-14NOV25-3.4-P-USDT,2.4361476,0.98459676,0.0,0.0,-0.91150642,0.28907976,0.00094002,-0.00210484,0.9464,2025-10-24 07:49:29.841062
XRP-14NOV25-2.4-C-USDT,2.4361476,0.21612721,140.0,140.0,0.56963338,0.78615194,0.00230281,-0.00464483,0.8525,2025-10-24 07:49:30.173435
XRP-14NOV25-2.4-P-USDT,2.43616667,0.179971,4500.0,4500.0,-0.43035166,0.78614214,0.00230281,-0.00464483,0.8525,2025-10-24 07:49:30.504485
XRP-14NOV25-2.2-C-USDT,2.43616667,0.33401411,0.0,0.0,0.72276061,0.65567783,0.00196374,-0.00404977,0.8717,2025-10-24 07:49:30.831187
XRP-14NOV25-3.2-C-USDT,2.43616667,0.03193311,0.0,0.0,0.13009635,0.39381883,0.00124068,-0.0026914,0.9169,2025-10-24 07:49:31.173905
XRP-14NOV25-2.8-P-USDT,2.43667516,0.44538197,0.0,0.0,-0.71306739,0.67041723,0.00199692,-0.00409402,0.8665,2025-10-24 07:49:31.503219
XRP-14NOV25-2.2-P-USDT,2.43667516,0.09770772,0.0,0.0,-0.27690699,0.65515176,0.00196299,-0.00404827,0.8717,2025-10-24 07:49:31.836606
XRP-14NOV25-2.7-C-USDT,2.43667516,0.10495102,0.0,0.0,0.34686918,0.73382537,0.00216453,-0.00439447,0.8581,2025-10-24 07:49:32.161260
XRP-14NOV25-1.8-C-USDT,2.43681545,0.65949035,0.0,0.0,0.9205236,0.25879644,0.00086737,-0.00200068,0.9749,2025-10-24 07:49:32.792317
XRP-14NOV25-1.6-P-USDT,2.43681545,0.01020202,0.0,0.0,-0.03743778,0.13174075,0.00047875,-0.00119732,1.0571,2025-10-24 07:49:33.122955
XRP-14NOV25-1.4-P-USDT,2.43694585,0.00447345,0.0,0.0,-0.01667298,0.06104416,0.00024314,-0.00066642,1.1585,2025-10-24 07:49:33.453589
XRP-14NOV25-1.8-P-USDT,2.43694585,0.02266621,4000.0,4000.0,-0.07944609,0.25870279,0.00086717,-0.00200025,0.9749,2025-10-24 07:49:33.780727
XRP-14NOV25-3-P-USDT,2.437122,0.61358848,0.0,0.0,-0.80628598,0.52665552,0.0016103,-0.00338767,0.8892,2025-10-24 07:49:34.463223
XRP-14NOV25-2.7-P-USDT,2.437122,0.36796482,0.0,0.0,-0.65282585,0.73400534,0.00216562,-0.00439625,0.858,2025-10-24 07:49:34.795668
XRP-14NOV25-2.3-P-USDT,2.437122,0.13405281,1000.0,1000.0,-0.35069748,0.73551906,0.00217364,-0.00441976,0.8594,2025-10-24 07:49:35.175162
XRP-14NOV25-1.6-C-USDT,2.43709863,0.84729252,0.0,0.0,0.96259344,0.13162932,0.00047848,-0.00119671,1.0571,2025-10-24 07:49:35.505398
XRP-28NOV25-3-C-USDT,2.4433,0.07333465,24050.0,24740.0,0.23577803,0.51678471,0.00233368,-0.00261017,0.7859,2025-10-24 07:49:35.837591
XRP-28NOV25-3.2-P-USDT,2.4434,0.80434677,0.0,0.0,-0.83393735,0.41342624,0.00188958,-0.00213891,0.7954,2025-10-24 07:49:36.198617
XRP-28NOV25-3.8-P-USDT,2.4434,1.37015083,0.0,0.0,-0.9442346,0.17924099,0.00085253,-0.00100425,0.8277,2025-10-24 07:49:36.825649
XRP-28NOV25-2.3-C-USDT,2.4434,0.3044335,20.0,7020.0,0.64526504,0.63738476,0.00282144,-0.00309315,0.7704,2025-10-24 07:49:37.161190
