instrument,strike,expiration,option_type,underlying_price,mark_price,mark_iv,bid_price,ask_price,open_interest,volume,greeks,timestamp
BTC-25OCT25-100000-C,100000.0,1761379200000,call,110635.3094,0.0962,105.31,0.093,0.098,0.2,0.0,"{'delta': 0.99576, 'gamma': 0.0, 'vega': 0.50717, 'theta': -26.70608, 'rho': 1.34253}",2025-10-24T23:10:47.764522
BTC-25OCT25-100000-P,100000.0,1761379200000,put,110635.3094,0.0001,105.31,0.0,0.0001,2512.0,212.4,"{'delta': -0.00424, 'gamma': 0.0, 'vega': 0.50717, 'theta': -5.70382, 'rho': -0.0064}",2025-10-24T23:10:48.101988
BTC-25OCT25-102000-C,102000.0,1761379200000,call,110637.4802,0.0781,89.49,0.075,0.09,0.0,0.0,"{'delta': 0.9936, 'gamma': 0.0, 'vega': 0.73128, 'theta': -32.72302, 'rho': 1.36626}",2025-10-24T23:10:48.442694
BTC-25OCT25-102000-P,102000.0,1761379200000,put,110637.4802,0.0001,89.49,0.0,0.0002,693.1,1110.8,"{'delta': -0.0064, 'gamma': 0.0, 'vega': 0.73128, 'theta': -7.60224, 'rho': -0.00965}",2025-10-24T23:10:48.776912
BTC-25OCT25-104000-C,104000.0,1761379200000,call,110637.4802,0.0601,75.99,0.057,0.0765,0.0,0.0,"{'delta': 0.98715, 'gamma': 1e-05, 'vega': 1.34665, 'theta': -51.16543, 'rho': 1.38353}",2025-10-24T23:10:49.107621
BTC-25OCT25-104000-P,104000.0,1761379200000,put,110637.9679,0.0001,75.99,0.0,0.0002,110.3,36.9,"{'delta': -0.01284, 'gamma': 1e-05, 'vega': 1.34619, 'theta': -13.94702, 'rho': -0.01936}",2025-10-24T23:10:49.460754
BTC-25OCT25-105000-C,105000.0,1761379200000,call,110637.9679,0.0511,66.26,0.048,0.07,6.8,0.1,"{'delta': 0.98467, 'gamma': 1e-05, 'vega': 1.56816, 'theta': -51.95323, 'rho': 1.3933}",2025-10-24T23:10:49.792582
BTC-25OCT25-105000-P,105000.0,1761379200000,put,110637.9679,0.0001,66.26,0.0,0.0003,567.2,42.0,"{'delta': -0.01533, 'gamma': 1e-05, 'vega': 1.56816, 'theta': -14.80282, 'rho': -0.02308}",2025-10-24T23:10:50.135561
BTC-25OCT25-106000-C,106000.0,1761379200000,call,110637.4156,0.0421,55.98,0.0385,0.0625,4.6,0.0,"{'delta': 0.98183, 'gamma': 2e-05, 'vega': 1.81358, 'theta': -50.75889, 'rho': 1.40254}",2025-10-24T23:10:50.475905
BTC-25OCT25-106000-P,106000.0,1761379200000,put,110637.4156,0.0001,55.98,0.0001,0.0002,448.6,154.3,"{'delta': -0.01817, 'gamma': 2e-05, 'vega': 1.81358, 'theta': -14.93578, 'rho': -0.02733}",2025-10-24T23:10:50.815597
