strategy,price_move,new_price,take_profit,exit_strategy,profit_usd,leveraged_profit,roi_percent,leveraged_roi
Bull Call Spread,-20,56000.0,25,50% profit target,-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,25,75% profit target,-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,25,100% profit target,-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,25,DTE-based (21 days),-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,25,DTE-based (14 days),-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,25,DTE-based (7 days),-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,25,Theta decay (-50%),-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,25,Delta neutral,-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,25,Volatility expansion,-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,25,Time decay optimization,-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,30,50% profit target,-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,30,75% profit target,-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,30,100% profit target,-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,30,DTE-based (21 days),-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,30,DTE-based (14 days),-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,30,DTE-based (7 days),-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,30,Theta decay (-50%),-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,30,Delta neutral,-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,30,Volatility expansion,-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,30,Time decay optimization,-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,40,50% profit target,-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,40,75% profit target,-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,40,100% profit target,-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,40,DTE-based (21 days),-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,40,DTE-based (14 days),-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,40,DTE-based (7 days),-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,40,Theta decay (-50%),-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,40,Delta neutral,-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,40,Volatility expansion,-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,40,Time decay optimization,-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,50,50% profit target,-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,50,75% profit target,-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,50,100% profit target,-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,50,DTE-based (21 days),-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,50,DTE-based (14 days),-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,50,DTE-based (7 days),-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,50,Theta decay (-50%),-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,50,Delta neutral,-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,50,Volatility expansion,-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,50,Time decay optimization,-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,60,50% profit target,-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,60,75% profit target,-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,60,100% profit target,-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,60,DTE-based (21 days),-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,60,DTE-based (14 days),-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,60,DTE-based (7 days),-3500.0,-122500.0,-100.0,-100.0
Bull Call Spread,-20,56000.0,60,Theta decay (-50%),-3500.0,-122500.0,-100.0,-100.0
