instrument,strike,expiration,option_type,underlying_price,mark_price,mark_iv,bid,ask,oi,volume,greeks,timestamp
BTC-25OCT25-100000-C,100000.0,1761379200000,call,110853.623,0.098,105.31,0.086,0.099,0.2,0.0,"{'delta': 0.99717, 'gamma': 0.0, 'vega': 0.34206, 'theta': -18.012, 'rho': 1.26311}",2025-10-24T23:54:17.269500
BTC-25OCT25-100000-P,100000.0,1761379200000,put,110853.623,0.0,105.31,0.0,0.0001,2512.0,212.4,"{'delta': -0.00283, 'gamma': 0.0, 'vega': 0.34206, 'theta': -3.55859, 'rho': -0.00401}",2025-10-24T23:54:17.528374
BTC-25OCT25-102000-C,102000.0,1761379200000,call,110853.623,0.0799,89.49,0.075,0.0925,0.0,0.0,"{'delta': 0.99572, 'gamma': 0.0, 'vega': 0.49714, 'theta': -22.24579, 'rho': 1.28639}",2025-10-24T23:54:17.781386
BTC-25OCT25-102000-P,102000.0,1761379200000,put,110855.908,0.0,89.49,0.0,0.0002,693.1,1110.8,"{'delta': -0.00428, 'gamma': 0.0, 'vega': 0.49631, 'theta': -4.74244, 'rho': -0.00607}",2025-10-24T23:54:18.038749
BTC-25OCT25-104000-C,104000.0,1761379200000,call,110855.908,0.0619,75.99,0.0595,0.0635,0.0,0.0,"{'delta': 0.99119, 'gamma': 1e-05, 'vega': 0.94107, 'theta': -35.75555, 'rho': 1.30532}",2025-10-24T23:54:18.295723
BTC-25OCT25-104000-P,104000.0,1761379200000,put,110855.908,0.0001,75.99,0.0,0.0002,110.3,36.9,"{'delta': -0.00881, 'gamma': 1e-05, 'vega': 0.94107, 'theta': -8.88875, 'rho': -0.01248}",2025-10-24T23:54:18.553272
BTC-25OCT25-105000-C,105000.0,1761379200000,call,110855.908,0.053,70.46,0.0505,0.055,6.8,0.1,"{'delta': 0.98523, 'gamma': 1e-05, 'vega': 1.47473, 'theta': -51.95795, 'rho': 1.30955}",2025-10-24T23:54:18.817340
BTC-25OCT25-105000-P,105000.0,1761379200000,put,110857.548,0.0001,70.47,0.0001,0.0002,567.2,42.0,"{'delta': -0.01475, 'gamma': 1e-05, 'vega': 1.47304, 'theta': -14.60648, 'rho': -0.02091}",2025-10-24T23:54:19.072409
BTC-25OCT25-106000-C,106000.0,1761379200000,call,110857.548,0.044,59.71,0.0415,0.046,4.6,0.0,"{'delta': 0.98295, 'gamma': 2e-05, 'vega': 1.66827, 'theta': -49.80477, 'rho': 1.31901}",2025-10-24T23:54:19.331763
BTC-25OCT25-106000-P,106000.0,1761379200000,put,110857.548,0.0001,59.71,0.0001,0.0002,442.6,189.3,"{'delta': -0.01705, 'gamma': 2e-05, 'vega': 1.66827, 'theta': -14.53675, 'rho': -0.02414}",2025-10-24T23:54:19.592197
